RFID;HenID;Ranging_Cat;Pen;Date_orig;Date;abs_time_1st_transition;Total_transitions;total_corr_transitions;total_ambig_transitions;tot_time_observed;prop_total_time.WG_open;total_IN;total_time_IN;total_WG;total_time_WG;total_LH;total_time_LH;total_FR;total_time_FR;order_appearing_LH;order_leaving_LH;prop_time_obs_outside
DA09C002;1;R;11;Friday 02/09/2016;2016-09-02;3681795768;33;21;12;20774;0.744587814;9;12195;2;802;3;1281;9;6496;26;10;0.374362183
DA760118;2;R;11;Friday 02/09/2016;2016-09-02;3681795763;34;29;5;25256;0.905232975;10;7410;12;16878;6;934;2;34;34;80;0.038327526
DA7DAF61;3;NR;11;Friday 02/09/2016;2016-09-02;3681797587;26;25;1;26142;0.936989247;9;16734;13;9122;5;286;0;0;56;25;0.010940249
DA09BAA4;4;NR;11;Friday 02/09/2016;2016-09-02;3681795770;29;27;2;27378;0.981290323;13;24054;14;3124;2;200;0;0;4;7;0.007305136
DA09C021;6;NR;11;Friday 02/09/2016;2016-09-02;3681802676;3;3;0;27900;1;3;27703;2;197;0;0;0;0;NA;NA;0
DA760171;7;NR;11;Friday 02/09/2016;2016-09-02;3681811766;13;13;0;27900;1;8;23630;7;4270;0;0;0;0;NA;NA;0
DA760156;8;NR;11;Friday 02/09/2016;2016-09-02;3681795774;66;57;9;23840;0.854480287;12;6846;22;11321;20;3637;5;2036;16;62;0.237961409
DA760125;9;R;11;Friday 02/09/2016;2016-09-02;3681795813;61;36;25;15232;0.545949821;11;7754;13;5308;10;1176;3;994;33;75;0.142463235
DA7DAF4E;10;NR;11;Friday 02/09/2016;2016-09-02;3681795781;36;29;7;23608;0.846164875;8;4220;12;18659;8;438;2;291;20;28;0.030879363
DA09B708;11;R;11;Friday 02/09/2016;2016-09-02;3681796261;47;29;18;17136;0.614193548;16;9692;7;3157;0;0;8;4287;NA;NA;0.25017507
DA09BA0C;12;NR;11;Friday 02/09/2016;2016-09-02;3681795791;86;61;25;21222;0.760645161;10;9059;24;9650;24;1523;4;990;1;47;0.118414853
DA760144;13;NR;11;Friday 02/09/2016;2016-09-02;3681796151;20;16;4;24822;0.889677419;8;16557;8;8148;2;117;0;0;66;14;0.004713561
DA7DAF69;14;NA;11;Friday 02/09/2016;2016-09-02;3681795762;1;1;0;27900;1;1;27900;0;0;0;0;0;0;NA;NA;0
DA09BEED;15;R;11;Friday 02/09/2016;2016-09-02;3681796075;19;15;4;21951;0.786774194;5;6930;4;9209;2;3935;4;1877;79;45;0.264771537
DA760095;16;R;11;Friday 02/09/2016;2016-09-02;3681795767;48;33;15;18616;0.667240143;16;8378;8;4116;2;3425;8;2697;38;27;0.328856897
DA7600AA;17;R;11;Friday 02/09/2016;2016-09-02;3681795766;45;27;18;17921;0.642329749;14;10449;4;3281;1;2;9;4189;71;17;0.233859718
