"","HenID","Pen","Bird","Betweenness","Centrality","Status","Community","mycl"
"1","1","11","1",2.07403884,0.009399355,-0.060063912,11.1,"3"
"2","10","11","10",2.78550771,0.009211188,0.108514126,11.2,"2"
"3","100","14","100",1.740446009,0.009707797,0.12162758,14.1,"1"
"4","101","14","101",1.765604003,0.009116185,0.020119099,14.3,"5"
"5","102","14","102",2.236399119,0.009707496,-0.068911615,14.1,"1"
"6","103","14","103",2.881777149,0.009595578,0.180783439,14.1,"3"
"7","104","13","104",1.310346696,0.009302318,0.172450129,13.1,"1"
"8","105","14","105",2.024696954,0.009489445,-0.013302678,14.3,"4"
"9","106","14","106",2.236399119,0.009699197,-0.165329559,14.1,"3"
"10","107","14","107",1.446698118,0.009175243,0.260169181,14.3,"5"
"11","108","14","108",3.174526168,0.009895097,-0.136185661,14.1,"3"
"12","109","14","109",2.642858771,0.009740081,0.056169291,14.1,"1"
"13","11","11","11",3.282723101,0.009542088,-0.070580518,11.1,"3"
"14","110","14","110",2.57825166,0.009805592,-0.123139151,14.2,"4"
"15","111","14","111",1.558855802,0.009428426,-0.150637953,14.1,"3"
"16","112","14","112",3.174526168,0.009763057,-0.069006551,14.1,"3"
"17","113","13","113",1.310346696,0.009680868,-0.072969003,13.2,"4"
"18","114","14","114",2.285502641,0.009707686,0.135007722,14.1,"1"
"19","115","14","115",1.357893509,0.009500778,0.121064035,14.1,"1"
"20","117","14","117",1.898820445,0.00909938,0.017959791,14.3,"5"
"21","119","14","119",0.22196098,0.008845588,0.172367184,14.3,"5"
"22","12","11","12",2.07403884,0.009329536,0.028156745,11.2,"2"
"23","121","14","121",1.415347943,0.00964329,0.02218592,14.1,"1"
"24","122","14","122",2.962824003,0.009719619,0.290922475,14.2,"1"
"25","123","12","123",0.262523744,0.009752938,-0.004694224,12.2,"1"
"26","124","14","124",2.236399119,0.009648468,-0.028306911,14.2,"2"
"27","13","11","13",0.862145407,0.009127999,-0.105576092,11.2,"2"
"28","14","11","14",1.193457096,0.008780387,0.063067387,11.2,"4"
"29","15","11","15",3.282723101,0.009419243,-0.003987349,11.1,"3"
"30","150","14","150",3.174526168,0.009720788,-0.298399355,14.2,"4"
"31","151","12","151",0.262523744,0.009818138,0.049924146,12.2,"1"
"32","152","14","152",2.881777149,0.009750735,-0.269685187,14.2,"1"
"33","153","13","153",2.436247764,0.009015507,0.074101261,13.1,"3"
"34","154","14","154",3.174526168,0.009971667,-0.051134132,14.2,"1"
"35","16","11","16",2.919092666,0.009401155,-0.057234864,11.1,"3"
"36","17","11","17",0.862145407,0.009405394,-0.013414535,11.1,"3"
"37","18","11","18",3.282723101,0.009510539,0.04011101,11.3,"3"
"38","19","11","19",3.282723101,0.009445665,0.030310953,11.3,"3"
"39","2","11","2",1.694667905,0.00944541,0.056215849,11.3,"2"
"40","20","11","20",1.771055137,0.009435967,-0.011280184,11.3,"3"
"41","21","11","21",1.771055137,0.009360996,-0.098874554,11.2,"2"
"42","22","11","22",0,0.008348794,0,11.4,"4"
"43","23","11","23",0.593644463,0.009197288,0.010092267,11.2,"2"
"44","24","11","24",0.862145407,0.009175522,0.069151973,11.3,"3"
"45","25","11","25",0.080420287,0.00847392,-0.03350823,11.2,"4"
"46","26","11","26",0.49180554,0.008710495,-0.049591723,11.2,"1"
"47","27","11","27",3.282723101,0.009214047,-0.006250804,11.1,"3"
"48","28","11","28",3.282723101,0.009562073,0.035031464,11.3,"3"
"49","29","11","29",0.862145407,0.009329956,0.047374556,11.3,"3"
"50","3","11","3",1.655063944,0.008798478,-0.087970529,11.2,"1"
"51","30","11","30",3.282723101,0.009018456,-0.118013741,11.2,"2"
"52","31","12","31",0,0.008795952,0.000880679,12.1,"4"
"53","32","12","32",0.742627923,0.009854855,0.023892887,12.2,"3"
"54","33","12","33",3.161199343,0.009769941,-0.005053567,12.2,"3"
"55","34","12","34",0,0.008754864,0,12.3,"4"
"56","35","12","35",0.262523744,0.009549304,0.01945657,12.1,"2"
"57","36","12","36",0.564095407,0.009575772,-0.026900131,12.2,"1"
"58","37","12","37",0.262523744,0.009609635,-0.022760358,12.1,"1"
"59","38","12","38",6.091146441,0.009921173,0.055000236,12.2,"1"
"60","39","12","39",0,0.008754864,0,12.4,"4"
"61","4","11","4",3.282723101,0.00925199,0.054301861,11.2,"2"
"62","40","12","40",2.049790589,0.009063614,0.022784351,12.1,"4"
"63","41","12","41",0.696478134,0.009640555,0.001409014,12.1,"1"
"64","42","12","42",0.742627923,0.009938831,-0.00433477,12.2,"3"
"65","43","12","43",3.161199343,0.009824457,-0.030590194,12.2,"3"
"66","44","12","44",0.491760724,0.009119449,0.051496851,12.1,"4"
"67","45","12","45",0.262523744,0.009293803,0.027304388,12.1,"2"
"68","46","12","46",8.112947016,0.009621092,-0.021326859,12.2,"1"
"69","47","12","47",3.161199343,0.009717124,-0.018735777,12.1,"2"
"70","48","12","48",0.742627923,0.009988644,-0.050899045,12.2,"1"
"71","49","12","49",0.742627923,0.009703059,0.030430072,12.2,"3"
"72","50","12","50",3.161199343,0.009370156,0.087548736,12.1,"2"
"73","500","11","500",2.023210621,0.009601727,-0.033086286,11.1,"3"
"74","501","11","501",2.023210621,0.009512769,0.045150022,11.2,"2"
"75","503","11","503",3.282723101,0.009611628,0.030654162,11.1,"2"
"76","504","11","504",3.282723101,0.009192857,-0.04727009,11.2,"2"
"77","505","11","505",1.886442374,0.009059456,-0.109517846,11.1,"1"
"78","506","11","506",3.282723101,0.009544455,-0.023219935,11.2,"2"
"79","507","11","507",3.282723101,0.009349165,-0.024357097,11.3,"3"
"80","508","11","508",1.771055137,0.009361755,0.021756189,11.1,"3"
"81","509","11","509",3.189141868,0.009347559,0.057315882,11.3,"3"
"82","51","12","51",5.527708929,0.009899625,0.029353699,12.2,"3"
"83","511","11","511",3.282723101,0.009567076,0.090624976,11.1,"3"
"84","512","11","512",2.023210621,0.009251104,0.016733727,11.1,"2"
"85","513","11","513",2.948489399,0.009065977,-0.117667236,11.2,"2"
"86","515","11","515",2.023210621,0.009422346,-0.090507393,11.2,"2"
"87","516","11","516",2.023210621,0.009639293,0.039067476,11.1,"3"
"88","518","11","518",1.894301279,0.008863595,-0.13871808,11.1,"1"
"89","519","11","519",2.07403884,0.00952591,0.021320121,11.3,"2"
"90","52","12","52",0.742627923,0.009590052,-0.016875947,12.2,"5"
"91","520","11","520",1.842331485,0.00903916,-0.033227796,11.1,"2"
